2019-04-15-00-00-00  次日数据更新
2019-04-15-00-00-08  房间人数为 12
2019-04-15-00-00-23  房间人数为 12
2019-04-15-00-00-38  房间人数为 12
2019-04-15-00-00-53  房间人数为 12
2019-04-15-00-01-04  10799688025_bili 6
2019-04-15-00-01-04  娃
2019-04-15-00-01-04  {"type":0,"barrage":"6","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-15-00-01-04  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"6","addTime":"2019-04-15 00:01:04","control":0,"nick":"10799688025_bili","balance":54500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-15-00-01-08  房间人数为 12
2019-04-15-00-01-23  房间人数为 12
2019-04-15-00-01-38  房间人数为 12
2019-04-15-00-01-53  房间人数为 12
2019-04-15-00-02-08  房间人数为 12
2019-04-15-00-02-23  房间人数为 12
2019-04-15-00-02-38  房间人数为 12
2019-04-15-00-02-53  房间人数为 12
2019-04-15-00-03-08  房间人数为 12
2019-04-15-00-03-23  房间人数为 12
2019-04-15-00-03-38  房间人数为 12
2019-04-15-00-03-53  房间人数为 12
2019-04-15-00-04-08  房间人数为 12
2019-04-15-00-04-08  娃娃星球 点歌 多调利想在平庸的生活拥抱你
2019-04-15-00-04-09  娃
2019-04-15-00-04-09  {"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-15-00-04-09  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","addTime":"2019-04-15 00:04:09","control":0,"nick":"娃娃星球","balance":24900,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-15-00-04-23  房间人数为 12
2019-04-15-00-04-38  房间人数为 12
2019-04-15-00-04-53  房间人数为 12
2019-04-15-00-05-08  房间人数为 12
2019-04-15-00-05-14  我shi养猫人 1111
2019-04-15-00-05-14  娃
2019-04-15-00-05-14  {"type":0,"barrage":"1111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-15-00-05-14  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"1111","addTime":"2019-04-15 00:05:14","control":0,"nick":"我shi养猫人","balance":81400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-15-00-05-23  房间人数为 12
