2019-04-20-00-00-00  次日数据更新
2019-04-20-00-00-02  房间人数为 6
2019-04-20-00-00-03  卓坊云年 v我的余额
2019-04-20-00-00-03  娃
2019-04-20-00-00-03  {"type":0,"barrage":"v我的余额","nick":"卓坊云年","sid":"18741207","giftNum":0,"source":1,"optId":10}

2019-04-20-00-00-03  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"v我的余额","addTime":"2019-04-20 00:00:03","control":0,"nick":"卓坊云年","balance":100,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-20-00-00-17  房间人数为 6
2019-04-20-00-00-19  卓坊云年 我的余额
2019-04-20-00-00-19  娃
2019-04-20-00-00-19  {"type":0,"barrage":"我的余额","nick":"卓坊云年","sid":"18741207","giftNum":0,"source":1,"optId":10}

2019-04-20-00-00-19  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"我的余额","addTime":"2019-04-20 00:00:19","control":0,"nick":"卓坊云年","balance":100,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-20-00-00-19  
2019-04-20-00-00-20  喵哩喵哩点砍木 #@卓坊云年用户余额为100
2019-04-20-00-00-30  Black-Blade送出辣条
2019-04-20-00-00-30  
2019-04-20-00-00-30  {"type":1,"barrage":"辣条","nick":"Black-Blade","sid":"28863070","giftNum":1,"source":1,"optId":20}

2019-04-20-00-00-30  client接收到：{"state":true,"result":"200","data":{"type":1,"barrage":"辣条","addTime":"2019-04-20 00:00:30","control":0,"nick":"Black-Blade","balance":100,"optId":20,"playOptId":0,"result":-1},"msg":"成功"}

2019-04-20-00-00-30  礼物
2019-04-20-00-00-31  喵哩喵哩点砍木 #谢Black-Blade送出的辣条
2019-04-20-00-00-32  房间人数为 6
2019-04-20-00-00-47  房间人数为 6
2019-04-20-00-00-49  Black-Blade 抓x6y6
2019-04-20-00-00-49  
2019-04-20-00-00-50  喵哩喵哩点砍木 #@Black-Blade 机器被占用
2019-04-20-00-01-02  房间人数为 6
2019-04-20-00-01-07  卓坊云年 没反应的都？
2019-04-20-00-01-08  娃
2019-04-20-00-01-08  {"type":0,"barrage":"没反应的都？","nick":"卓坊云年","sid":"18741207","giftNum":0,"source":1,"optId":10}

2019-04-20-00-01-08  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"没反应的都？","addTime":"2019-04-20 00:01:08","control":0,"nick":"卓坊云年","balance":100,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-20-00-01-17  房间人数为 6
2019-04-20-00-01-32  房间人数为 6
2019-04-20-00-01-40  Black-Blade 被占用是什么鬼
2019-04-20-00-01-41  娃
