2019-04-21-00-00-00  次日数据更新
2019-04-21-00-00-08  房间人数为 7
2019-04-21-00-00-23  房间人数为 7
2019-04-21-00-00-38  房间人数为 7
2019-04-21-00-00-53  房间人数为 7
2019-04-21-00-01-08  房间人数为 7
2019-04-21-00-01-23  房间人数为 7
2019-04-21-00-01-38  房间人数为 7
2019-04-21-00-01-53  房间人数为 7
2019-04-21-00-02-08  房间人数为 7
2019-04-21-00-02-23  房间人数为 7
2019-04-21-00-02-38  房间人数为 7
2019-04-21-00-02-53  房间人数为 7
2019-04-21-00-03-08  房间人数为 7
2019-04-21-00-03-10  更新cookie
2019-04-21-00-03-23  房间人数为 7
2019-04-21-00-03-38  房间人数为 7
2019-04-21-00-03-53  房间人数为 7
2019-04-21-00-04-08  房间人数为 7
2019-04-21-00-04-23  房间人数为 7
2019-04-21-00-04-38  房间人数为 7
2019-04-21-00-04-53  房间人数为 7
2019-04-21-00-05-08  房间人数为 7
2019-04-21-00-05-23  房间人数为 7
2019-04-21-00-05-38  房间人数为 6
2019-04-21-00-05-53  房间人数为 6
2019-04-21-00-06-08  房间人数为 6
2019-04-21-00-06-23  房间人数为 6
2019-04-21-00-06-28  hHxyhG送出辣条
2019-04-21-00-06-28  
2019-04-21-00-06-29  {"type":1,"barrage":"辣条","nick":"hHxyhG","sid":"206233794","giftNum":1,"source":1,"optId":20}

2019-04-21-00-06-29  client接收到：{"state":true,"result":"200","data":{"type":1,"barrage":"辣条","addTime":"2019-04-21 00:06:29","control":0,"nick":"hHxyhG","balance":100,"optId":20,"playOptId":0,"result":-1},"msg":"成功"}

2019-04-21-00-06-29  礼物
2019-04-21-00-06-29  喵哩喵哩点砍木 #谢hHxyhG送出的辣条
2019-04-21-00-06-38  房间人数为 6
2019-04-21-00-06-40  hHxyhG送出辣条
2019-04-21-00-06-40  
2019-04-21-00-06-40  {"type":1,"barrage":"辣条","nick":"hHxyhG","sid":"206233794","giftNum":1,"source":1,"optId":20}

2019-04-21-00-06-40  client接收到：{"state":true,"result":"200","data":{"type":1,"barrage":"辣条","addTime":"2019-04-21 00:06:40","control":0,"nick":"hHxyhG","balance":200,"optId":20,"playOptId":0,"result":-1},"msg":"成功"}

2019-04-21-00-06-40  礼物
2019-04-21-00-06-41  hHxyhG送出辣条
2019-04-21-00-06-41  重复发送
2019-04-21-00-06-42  {"type":1,"barrage":"辣条","nick":"hHxyhG","sid":"206233794","giftNum":1,"source":1,"optId":20}

2019-04-21-00-06-42  喵哩喵哩点砍木 #谢hHxyhG送出的辣条
2019-04-21-00-06-42  hHxyhG送出辣条
2019-04-21-00-06-42  client接收到：{"state":true,"result":"200","data":{"type":1,"barrage":"辣条","addTime":"2019-04-21 00:06:42","control":0,"nick":"hHxyhG","balance":300,"optId":20,"playOptId":0,"result":-1},"msg":"成功"}

2019-04-21-00-06-42  礼物
2019-04-21-00-06-42  重复发送
2019-04-21-00-06-42  {"type":1,"barrage":"辣条","nick":"hHxyhG","sid":"206233794","giftNum":1,"source":1,"optId":20}

2019-04-21-00-06-42  hHxyhG送出辣条
