2019-04-07-00-00-00  次日数据更新
2019-04-07-00-00-05  我shi养猫人 1111
2019-04-07-00-00-05  娃
2019-04-07-00-00-05  {"type":0,"barrage":"1111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-07-00-00-06  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"1111","addTime":"2019-04-07 00:00:06","control":0,"nick":"我shi养猫人","balance":105400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-07-00-00-11  房间人数为 1
2019-04-07-00-00-26  房间人数为 1
2019-04-07-00-00-41  房间人数为 1
2019-04-07-00-00-51  娃娃星球 11111
2019-04-07-00-00-52  娃
2019-04-07-00-00-52  {"type":0,"barrage":"11111","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-07-00-00-52  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11111","addTime":"2019-04-07 00:00:52","control":0,"nick":"娃娃星球","balance":45300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-07-00-00-56  房间人数为 1
2019-04-07-00-01-11  房间人数为 1
2019-04-07-00-01-26  房间人数为 1
2019-04-07-00-01-41  房间人数为 1
2019-04-07-00-01-56  房间人数为 1
2019-04-07-00-02-11  房间人数为 1
2019-04-07-00-02-15  10799688025_bili 点歌 我曾
2019-04-07-00-02-15  娃
2019-04-07-00-02-17  {"type":0,"barrage":"点歌我曾","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-07-00-02-23  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌我曾","addTime":"2019-04-07 00:02:23","control":0,"nick":"10799688025_bili","balance":67800,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-07-00-02-26  房间人数为 1
2019-04-07-00-02-41  房间人数为 1
2019-04-07-00-02-56  房间人数为 1
2019-04-07-00-03-11  房间人数为 1
2019-04-07-00-03-26  房间人数为 1
2019-04-07-00-03-41  房间人数为 1
2019-04-07-00-03-56  房间人数为 1
2019-04-07-00-04-11  房间人数为 1
2019-04-07-00-04-26  房间人数为 1
2019-04-07-00-04-41  房间人数为 1
2019-04-07-00-04-56  房间人数为 1
2019-04-07-00-05-11  房间人数为 1
2019-04-07-00-05-16  更新cookie
2019-04-07-00-05-26  房间人数为 1
2019-04-07-00-05-41  房间人数为 1
2019-04-07-00-05-56  房间人数为 1
2019-04-07-00-06-08  娃娃星球 66
2019-04-07-00-06-08  娃
2019-04-07-00-06-08  {"type":0,"barrage":"66","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-07-00-06-08  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"66","addTime":"2019-04-07 00:06:08","control":0,"nick":"娃娃星球","balance":45300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-07-00-06-11  房间人数为 1
2019-04-07-00-06-26  房间人数为 1
2019-04-07-00-06-41  房间人数为 1
2019-04-07-00-06-56  房间人数为 1
2019-04-07-00-07-11  房间人数为 1
2019-04-07-00-07-26  房间人数为 1
2019-04-07-00-07-27  娃娃星球 抓x2y6
2019-04-07-00-07-27  x2y6
2019-04-07-00-07-27  {"type":2,"barrage":"申请上机","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":30,"playOptId":0}

2019-04-07-00-07-27  client接收到：{"state":true,"result":"200","data":{"type":2,"barrage":"申请上机","addTime":"2019-04-07 00:07:27","control":1,"nick":"娃娃星球","balance":45200,"optId":30,"playOptId":4091247,"result":-1},"msg":"成功"}

2019-04-07-00-07-27  Wawaji上机申请
2019-04-07-00-07-27  
2019-04-07-00-07-28  {"type":3,"barrage":"x2y6","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":31,"playOptId":4091247}

2019-04-07-00-07-28  client接收到：{"state":true,"result":"200","data":{"type":3,"barrage":"x2y6","addTime":"2019-04-07 00:07:28","control":1,"nick":"娃娃星球","balance":45200,"optId":31,"playOptId":4091247,"result":-1},"msg":"成功"}

2019-04-07-00-07-28  Wawaji运行完成
2019-04-07-00-07-28  {"type":4,"barrage":"x2y6","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":32,"playOptId":4091247}

2019-04-07-00-07-28  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y6","addTime":"2019-04-07 00:07:28","control":1,"nick":"娃娃星球","balance":45200,"optId":32,"playOptId":4091247,"result":-1},"msg":"成功"}

2019-04-07-00-07-28  喵哩喵哩点砍木 #@娃娃星球正在抓取x2y6
2019-04-07-00-07-29  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y6","addTime":"2019-04-07 00:07:29","control":1,"nick":"娃娃星球","balance":45200,"optId":32,"playOptId":4091247,"result":-1},"msg":"成功"}

