2019-04-14-00-00-00  次日数据更新
2019-04-14-00-00-12  房间人数为 10
2019-04-14-00-00-27  房间人数为 10
2019-04-14-00-00-42  房间人数为 10
2019-04-14-00-00-57  房间人数为 10
2019-04-14-00-01-12  房间人数为 10
2019-04-14-00-01-27  房间人数为 10
2019-04-14-00-01-42  房间人数为 10
2019-04-14-00-01-57  房间人数为 10
2019-04-14-00-02-12  房间人数为 10
2019-04-14-00-02-27  房间人数为 10
2019-04-14-00-02-30  娃娃星球 11111
2019-04-14-00-02-30  娃
2019-04-14-00-02-30  {"type":0,"barrage":"11111","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-14-00-02-30  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11111","addTime":"2019-04-14 00:02:30","control":0,"nick":"娃娃星球","balance":26400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-14-00-02-42  房间人数为 10
2019-04-14-00-02-57  房间人数为 10
2019-04-14-00-03-12  房间人数为 10
2019-04-14-00-03-27  房间人数为 10
2019-04-14-00-03-42  房间人数为 10
2019-04-14-00-03-57  房间人数为 10
2019-04-14-00-04-12  房间人数为 10
2019-04-14-00-04-27  房间人数为 10
2019-04-14-00-04-42  房间人数为 10
2019-04-14-00-04-49  10799688025_bili 666
2019-04-14-00-04-49  娃
2019-04-14-00-04-49  {"type":0,"barrage":"666","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-14-00-04-49  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"666","addTime":"2019-04-14 00:04:49","control":0,"nick":"10799688025_bili","balance":57300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-14-00-04-57  房间人数为 10
2019-04-14-00-05-12  房间人数为 10
2019-04-14-00-05-27  房间人数为 10
2019-04-14-00-05-42  房间人数为 10
2019-04-14-00-05-57  房间人数为 10
2019-04-14-00-06-12  房间人数为 10
2019-04-14-00-06-18  娃娃星球 抓x3y2
2019-04-14-00-06-18  x3y2
2019-04-14-00-06-18  {"type":2,"barrage":"申请上机","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":30,"playOptId":0}

2019-04-14-00-06-18  client接收到：{"state":true,"result":"200","data":{"type":2,"barrage":"申请上机","addTime":"2019-04-14 00:06:18","control":1,"nick":"娃娃星球","balance":26300,"optId":30,"playOptId":4123647,"result":-1},"msg":"成功"}

2019-04-14-00-06-18  Wawaji上机申请
2019-04-14-00-06-18  
2019-04-14-00-06-19  {"type":3,"barrage":"x3y2","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":31,"playOptId":4123647}

2019-04-14-00-06-19  喵哩喵哩点砍木 #@娃娃星球正在抓取x3y2
2019-04-14-00-06-19  client接收到：{"state":true,"result":"200","data":{"type":3,"barrage":"x3y2","addTime":"2019-04-14 00:06:19","control":1,"nick":"娃娃星球","balance":26300,"optId":31,"playOptId":4123647,"result":-1},"msg":"成功"}

2019-04-14-00-06-20  Wawaji运行完成
2019-04-14-00-06-20  {"type":4,"barrage":"x3y2","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":32,"playOptId":4123647}

2019-04-14-00-06-20  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x3y2","addTime":"2019-04-14 00:06:20","control":1,"nick":"娃娃星球","balance":26300,"optId":32,"playOptId":4123647,"result":-1},"msg":"成功"}

2019-04-14-00-06-21  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x3y2","addTime":"2019-04-14 00:06:21","control":1,"nick":"娃娃星球","balance":26300,"optId":32,"playOptId":4123647,"result":-1},"msg":"成功"}

