2019-04-09-00-00-00  次日数据更新
2019-04-09-00-00-14  房间人数为 6
2019-04-09-00-00-29  房间人数为 6
2019-04-09-00-00-44  房间人数为 6
2019-04-09-00-00-59  房间人数为 6
2019-04-09-00-01-14  房间人数为 6
2019-04-09-00-01-29  房间人数为 6
2019-04-09-00-01-44  房间人数为 6
2019-04-09-00-01-59  房间人数为 6
2019-04-09-00-02-14  房间人数为 6
2019-04-09-00-02-29  房间人数为 6
2019-04-09-00-02-44  房间人数为 6
2019-04-09-00-02-59  房间人数为 6
2019-04-09-00-03-14  房间人数为 6
2019-04-09-00-03-29  房间人数为 6
2019-04-09-00-03-44  房间人数为 6
2019-04-09-00-03-59  房间人数为 6
2019-04-09-00-04-14  房间人数为 6
2019-04-09-00-04-29  房间人数为 6
2019-04-09-00-04-44  房间人数为 6
2019-04-09-00-04-59  房间人数为 6
2019-04-09-00-05-14  房间人数为 6
2019-04-09-00-05-29  房间人数为 6
2019-04-09-00-05-44  房间人数为 6
2019-04-09-00-05-58  10799688025_bili 点歌 多调利想在平庸的生活拥抱你
2019-04-09-00-05-59  娃
2019-04-09-00-05-59  {"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-09-00-05-59  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","addTime":"2019-04-09 00:05:59","control":0,"nick":"10799688025_bili","balance":70200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-05-59  房间人数为 6
2019-04-09-00-06-17  房间人数为 6
2019-04-09-00-06-29  房间人数为 6
2019-04-09-00-06-44  房间人数为 6
2019-04-09-00-06-59  房间人数为 6
2019-04-09-00-07-14  房间人数为 6
2019-04-09-00-07-21  娃娃星球 66
2019-04-09-00-07-21  娃
2019-04-09-00-07-21  {"type":0,"barrage":"66","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-09-00-07-21  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"66","addTime":"2019-04-09 00:07:21","control":0,"nick":"娃娃星球","balance":38300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-07-29  房间人数为 6
2019-04-09-00-07-44  房间人数为 6
2019-04-09-00-07-59  房间人数为 6
2019-04-09-00-08-14  房间人数为 6
2019-04-09-00-08-29  房间人数为 6
2019-04-09-00-08-44  房间人数为 6
2019-04-09-00-08-54  娃娃星球 111
2019-04-09-00-08-54  娃
2019-04-09-00-08-54  {"type":0,"barrage":"111","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-09-00-08-54  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-09 00:08:54","control":0,"nick":"娃娃星球","balance":38300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-08-59  房间人数为 6
2019-04-09-00-09-14  房间人数为 6
2019-04-09-00-09-16  _no_pain_ 还在睡
2019-04-09-00-09-16  娃
2019-04-09-00-09-16  {"type":0,"barrage":"还在睡","nick":"_no_pain_","sid":"386874071","giftNum":0,"source":1,"optId":10}

2019-04-09-00-09-16  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"还在睡","addTime":"2019-04-09 00:09:16","control":0,"nick":"_no_pain_","balance":0,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-09-29  房间人数为 5
2019-04-09-00-09-44  房间人数为 5
2019-04-09-00-09-59  房间人数为 5
2019-04-09-00-10-11  娃娃星球 好萌好可爱
2019-04-09-00-10-11  娃
2019-04-09-00-10-11  {"type":0,"barrage":"好萌好可爱","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-09-00-10-11  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"好萌好可爱","addTime":"2019-04-09 00:10:11","control":0,"nick":"娃娃星球","balance":38300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-10-14  房间人数为 5
2019-04-09-00-10-29  房间人数为 4
2019-04-09-00-10-44  房间人数为 4
2019-04-09-00-10-59  房间人数为 4
2019-04-09-00-11-14  房间人数为 4
2019-04-09-00-11-29  房间人数为 4
2019-04-09-00-11-44  10799688025_bili 好萌好可爱
2019-04-09-00-11-44  娃
2019-04-09-00-11-44  {"type":0,"barrage":"好萌好可爱","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-09-00-11-44  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"好萌好可爱","addTime":"2019-04-09 00:11:44","control":0,"nick":"10799688025_bili","balance":70200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-09-00-11-44  房间人数为 4
2019-04-09-00-11-59  房间人数为 4
2019-04-09-00-12-14  房间人数为 4
2019-04-09-00-12-29  房间人数为 4
2019-04-09-00-12-44  房间人数为 4
2019-04-09-00-12-59  房间人数为 4
2019-04-09-00-13-13  娃娃星球 111
2019-04-09-00-13-13  娃
