2019-04-12-00-00-00  次日数据更新
2019-04-12-00-00-07  房间人数为 9
2019-04-12-00-00-22  房间人数为 9
2019-04-12-00-00-37  房间人数为 9
2019-04-12-00-00-52  房间人数为 9
2019-04-12-00-01-07  房间人数为 9
2019-04-12-00-01-16  娃娃星球 11
2019-04-12-00-01-16  娃
2019-04-12-00-01-17  {"type":0,"barrage":"11","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-12-00-01-17  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11","addTime":"2019-04-12 00:01:17","control":0,"nick":"娃娃星球","balance":30600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-01-22  房间人数为 9
2019-04-12-00-01-37  房间人数为 9
2019-04-12-00-01-52  房间人数为 9
2019-04-12-00-02-07  房间人数为 9
2019-04-12-00-02-08  更新cookie
2019-04-12-00-02-22  房间人数为 9
2019-04-12-00-02-37  房间人数为 9
2019-04-12-00-02-52  房间人数为 9
2019-04-12-00-02-54  娃娃星球 11
2019-04-12-00-02-54  娃
2019-04-12-00-02-54  {"type":0,"barrage":"11","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-12-00-02-54  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11","addTime":"2019-04-12 00:02:54","control":0,"nick":"娃娃星球","balance":30600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-03-07  房间人数为 9
2019-04-12-00-03-22  房间人数为 9
2019-04-12-00-03-37  房间人数为 9
2019-04-12-00-03-52  房间人数为 9
2019-04-12-00-04-07  房间人数为 9
2019-04-12-00-04-22  房间人数为 9
2019-04-12-00-04-37  房间人数为 9
2019-04-12-00-04-48  娃娃星球 11
2019-04-12-00-04-49  娃
2019-04-12-00-04-49  {"type":0,"barrage":"11","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-12-00-04-49  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11","addTime":"2019-04-12 00:04:49","control":0,"nick":"娃娃星球","balance":30600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-04-52  房间人数为 9
2019-04-12-00-05-07  房间人数为 9
2019-04-12-00-05-22  房间人数为 9
2019-04-12-00-05-37  房间人数为 9
2019-04-12-00-05-46  10799688025_bili 点歌 我曾
2019-04-12-00-05-46  娃
2019-04-12-00-05-46  {"type":0,"barrage":"点歌我曾","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-12-00-05-46  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌我曾","addTime":"2019-04-12 00:05:46","control":0,"nick":"10799688025_bili","balance":61500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-05-52  房间人数为 9
2019-04-12-00-06-07  房间人数为 9
2019-04-12-00-06-22  房间人数为 9
2019-04-12-00-06-37  房间人数为 9
2019-04-12-00-06-52  房间人数为 9
2019-04-12-00-07-07  房间人数为 9
2019-04-12-00-07-22  房间人数为 9
2019-04-12-00-07-37  房间人数为 9
2019-04-12-00-07-44  娃娃星球 6666
2019-04-12-00-07-44  娃
2019-04-12-00-07-44  {"type":0,"barrage":"6666","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-12-00-07-44  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"6666","addTime":"2019-04-12 00:07:44","control":0,"nick":"娃娃星球","balance":30500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-07-52  房间人数为 9
2019-04-12-00-08-07  房间人数为 9
2019-04-12-00-08-22  房间人数为 9
2019-04-12-00-08-37  房间人数为 9
2019-04-12-00-08-52  房间人数为 9
2019-04-12-00-09-07  房间人数为 9
2019-04-12-00-09-22  房间人数为 9
2019-04-12-00-09-37  房间人数为 9
2019-04-12-00-09-52  房间人数为 9
2019-04-12-00-10-07  房间人数为 9
2019-04-12-00-10-22  房间人数为 9
2019-04-12-00-10-37  房间人数为 9
2019-04-12-00-10-52  房间人数为 9
2019-04-12-00-11-07  房间人数为 9
2019-04-12-00-11-18  我shi养猫人 111
2019-04-12-00-11-18  娃
2019-04-12-00-11-18  {"type":0,"barrage":"111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-12-00-11-18  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-12 00:11:18","control":0,"nick":"我shi养猫人","balance":89200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-11-22  房间人数为 9
2019-04-12-00-11-37  房间人数为 9
2019-04-12-00-11-52  房间人数为 9
2019-04-12-00-12-07  房间人数为 9
2019-04-12-00-12-22  房间人数为 9
2019-04-12-00-12-37  房间人数为 9
2019-04-12-00-12-48  我shi养猫人 6
2019-04-12-00-12-48  娃
2019-04-12-00-12-48  {"type":0,"barrage":"6","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-12-00-12-48  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"6","addTime":"2019-04-12 00:12:48","control":0,"nick":"我shi养猫人","balance":89200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-12-52  房间人数为 9
2019-04-12-00-13-07  房间人数为 9
2019-04-12-00-13-22  房间人数为 9
2019-04-12-00-13-37  房间人数为 9
2019-04-12-00-13-52  房间人数为 9
2019-04-12-00-13-53  娃娃星球 点歌 水星记
2019-04-12-00-13-53  娃
2019-04-12-00-13-53  {"type":0,"barrage":"点歌水星记","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-12-00-13-53  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌水星记","addTime":"2019-04-12 00:13:53","control":0,"nick":"娃娃星球","balance":30500,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-12-00-14-07  房间人数为 9
2019-04-12-00-14-22  房间人数为 9
2019-04-12-00-14-37  房间人数为 9
2019-04-12-00-14-52  房间人数为 9
2019-04-12-00-15-07  房间人数为 9
2019-04-12-00-15-22  房间人数为 9
2019-04-12-00-15-37  房间人数为 9
2019-04-12-00-15-47  哏都小仙女 点歌 追光者
