2019-04-13-00-00-00  次日数据更新
2019-04-13-00-00-12  房间人数为 12
2019-04-13-00-00-27  房间人数为 12
2019-04-13-00-00-42  房间人数为 12
2019-04-13-00-00-57  房间人数为 12
2019-04-13-00-00-59  我shi养猫人 666
2019-04-13-00-00-59  娃
2019-04-13-00-00-59  {"type":0,"barrage":"666","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-13-00-00-59  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"666","addTime":"2019-04-13 00:00:59","control":0,"nick":"我shi养猫人","balance":87300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-01-07  我shi养猫人 6
2019-04-13-00-01-07  娃
2019-04-13-00-01-07  {"type":0,"barrage":"6","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-13-00-01-07  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"6","addTime":"2019-04-13 00:01:07","control":0,"nick":"我shi养猫人","balance":87300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-01-12  房间人数为 12
2019-04-13-00-01-27  房间人数为 12
2019-04-13-00-01-42  房间人数为 12
2019-04-13-00-01-57  房间人数为 12
2019-04-13-00-02-12  房间人数为 12
2019-04-13-00-02-27  房间人数为 12
2019-04-13-00-02-34  娃娃星球 点歌 浪子回头
2019-04-13-00-02-34  娃
2019-04-13-00-02-34  {"type":0,"barrage":"点歌浪子回头","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-13-00-02-34  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌浪子回头","addTime":"2019-04-13 00:02:34","control":0,"nick":"娃娃星球","balance":28600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-02-42  房间人数为 12
2019-04-13-00-02-57  房间人数为 12
2019-04-13-00-02-59  更新cookie
2019-04-13-00-03-12  房间人数为 12
2019-04-13-00-03-27  房间人数为 12
2019-04-13-00-03-42  房间人数为 12
2019-04-13-00-03-57  房间人数为 12
2019-04-13-00-04-12  房间人数为 12
2019-04-13-00-04-27  房间人数为 12
2019-04-13-00-04-42  房间人数为 12
2019-04-13-00-04-46  10799688025_bili 666
2019-04-13-00-04-46  娃
2019-04-13-00-04-46  {"type":0,"barrage":"666","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-13-00-04-46  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"666","addTime":"2019-04-13 00:04:46","control":0,"nick":"10799688025_bili","balance":59200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-04-57  房间人数为 12
2019-04-13-00-05-12  房间人数为 12
2019-04-13-00-05-27  房间人数为 12
2019-04-13-00-05-42  房间人数为 12
2019-04-13-00-05-57  房间人数为 12
2019-04-13-00-06-12  房间人数为 12
2019-04-13-00-06-27  房间人数为 12
2019-04-13-00-06-43  房间人数为 12
2019-04-13-00-06-57  房间人数为 12
2019-04-13-00-07-12  房间人数为 12
2019-04-13-00-07-27  房间人数为 12
2019-04-13-00-07-33  我shi养猫人 点歌 水星记
2019-04-13-00-07-33  娃
2019-04-13-00-07-33  {"type":0,"barrage":"点歌水星记","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-13-00-07-33  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌水星记","addTime":"2019-04-13 00:07:33","control":0,"nick":"我shi养猫人","balance":87300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-07-42  房间人数为 12
2019-04-13-00-07-57  房间人数为 12
2019-04-13-00-08-12  房间人数为 12
2019-04-13-00-08-27  房间人数为 12
2019-04-13-00-08-42  房间人数为 12
2019-04-13-00-08-49  我shi养猫人 点歌 多调利想在平庸的生活拥抱你
2019-04-13-00-08-49  娃
2019-04-13-00-08-50  {"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-13-00-08-50  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌多调利想在平庸的生活拥抱你","addTime":"2019-04-13 00:08:50","control":0,"nick":"我shi养猫人","balance":87300,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-13-00-08-57  房间人数为 12
2019-04-13-00-09-12  房间人数为 12
