2019-04-05-00-00-00  次日数据更新
2019-04-05-00-00-08  房间人数为 9
2019-04-05-00-00-23  房间人数为 9
2019-04-05-00-00-38  房间人数为 9
2019-04-05-00-00-50  我shi养猫人 66
2019-04-05-00-00-50  娃
2019-04-05-00-00-50  {"type":0,"barrage":"66","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-05-00-00-50  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"66","addTime":"2019-04-05 00:00:50","control":0,"nick":"我shi养猫人","balance":102200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-05-00-00-53  房间人数为 9
2019-04-05-00-01-08  房间人数为 9
2019-04-05-00-01-23  房间人数为 9
2019-04-05-00-01-38  房间人数为 9
2019-04-05-00-01-53  房间人数为 9
2019-04-05-00-02-08  房间人数为 9
2019-04-05-00-02-23  房间人数为 9
2019-04-05-00-02-38  房间人数为 9
2019-04-05-00-02-53  房间人数为 9
2019-04-05-00-03-08  房间人数为 9
2019-04-05-00-03-09  10799688025_bili 抓x8y2
2019-04-05-00-03-09  x8y2
2019-04-05-00-03-09  {"type":2,"barrage":"申请上机","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":30,"playOptId":0}

2019-04-05-00-03-09  client接收到：{"state":true,"result":"200","data":{"type":2,"barrage":"申请上机","addTime":"2019-04-05 00:03:09","control":1,"nick":"10799688025_bili","balance":73700,"optId":30,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-10  Wawaji上机申请
2019-04-05-00-03-10  
2019-04-05-00-03-10  
2019-04-05-00-03-11  喵哩喵哩点砍木 #@10799688025_bili正
2019-04-05-00-03-11  喵哩喵哩点砍木 #在抓取x8y2
2019-04-05-00-03-12  {"type":3,"barrage":"x8y2","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":31,"playOptId":4084345}

2019-04-05-00-03-12  client接收到：{"state":true,"result":"200","data":{"type":3,"barrage":"x8y2","addTime":"2019-04-05 00:03:12","control":1,"nick":"10799688025_bili","balance":73700,"optId":31,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-12  Wawaji运行完成
2019-04-05-00-03-12  {"type":4,"barrage":"x8y2","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":32,"playOptId":4084345}

2019-04-05-00-03-12  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:12","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-13  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:13","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-14  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:14","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-15  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:15","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-16  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:16","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-17  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:17","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-18  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:18","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-19  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:19","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-20  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:20","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-21  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:21","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-22  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:22","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-23  房间人数为 9
2019-04-05-00-03-23  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:23","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-24  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:24","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-25  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:25","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-26  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:26","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-27  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:27","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-28  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:28","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":-1},"msg":"成功"}

2019-04-05-00-03-29  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:29","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":0},"msg":"成功"}

2019-04-05-00-03-31  Wawaji反馈完成
2019-04-05-00-03-31  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x8y2","addTime":"2019-04-05 00:03:31","control":1,"nick":"10799688025_bili","balance":73700,"optId":32,"playOptId":4084345,"result":0},"msg":"成功"}

2019-04-05-00-03-32  Wawaji反馈完成
2019-04-05-00-03-33  喵哩喵哩点砍木 #@10799688025_bili未
2019-04-05-00-03-37  
2019-04-05-00-03-38  
2019-04-05-00-03-38  房间人数为 9
2019-04-05-00-03-39  喵哩喵哩点砍木 #抓到娃娃，继续努力哟
2019-04-05-00-03-39  Wawaji运行完成
2019-04-05-00-03-53  房间人数为 9
2019-04-05-00-04-08  房间人数为 9
2019-04-05-00-04-10  更新cookie
2019-04-05-00-04-23  房间人数为 9
2019-04-05-00-04-26  我shi养猫人 666
2019-04-05-00-04-26  娃
2019-04-05-00-04-26  {"type":0,"barrage":"666","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-05-00-04-26  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"666","addTime":"2019-04-05 00:04:26","control":0,"nick":"我shi养猫人","balance":102200,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-05-00-04-38  房间人数为 9
2019-04-05-00-04-53  房间人数为 9
2019-04-05-00-05-08  房间人数为 9
2019-04-05-00-05-23  房间人数为 9
2019-04-05-00-05-38  房间人数为 9
2019-04-05-00-05-50  娃娃星球 11
2019-04-05-00-05-50  娃
2019-04-05-00-05-50  {"type":0,"barrage":"11","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-05-00-05-50  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11","addTime":"2019-04-05 00:05:50","control":0,"nick":"娃娃星球","balance":53800,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-05-00-05-53  房间人数为 9
2019-04-05-00-06-08  房间人数为 9
2019-04-05-00-06-23  房间人数为 9
2019-04-05-00-06-38  房间人数为 9
2019-04-05-00-06-53  房间人数为 9
2019-04-05-00-07-08  房间人数为 9
2019-04-05-00-07-23  房间人数为 9
2019-04-05-00-07-38  房间人数为 9
2019-04-05-00-07-53  房间人数为 9
2019-04-05-00-08-04  我shi养猫人 6
2019-04-05-00-08-04  娃
