2019-04-16-00-00-00  次日数据更新
2019-04-16-00-00-11  房间人数为 14
2019-04-16-00-00-14  栗子酱_29 抓x4y6
2019-04-16-00-00-14  x4y6
2019-04-16-00-00-14  {"type":2,"barrage":"申请上机","nick":"栗子酱_29","sid":"297606796","giftNum":0,"source":1,"optId":30,"playOptId":0}

2019-04-16-00-00-14  client接收到：{"state":true,"result":"200","data":{"type":2,"barrage":"申请上机","addTime":"2019-04-16 00:00:14","control":1,"nick":"栗子酱_29","balance":100,"optId":30,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-14  Wawaji上机申请
2019-04-16-00-00-14  
2019-04-16-00-00-15  {"type":3,"barrage":"x4y6","nick":"栗子酱_29","sid":"297606796","giftNum":0,"source":1,"optId":31,"playOptId":4129779}

2019-04-16-00-00-15  client接收到：{"state":true,"result":"200","data":{"type":3,"barrage":"x4y6","addTime":"2019-04-16 00:00:15","control":1,"nick":"栗子酱_29","balance":100,"optId":31,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-15  Wawaji运行完成
2019-04-16-00-00-15  {"type":4,"barrage":"x4y6","nick":"栗子酱_29","sid":"297606796","giftNum":0,"source":1,"optId":32,"playOptId":4129779}

2019-04-16-00-00-15  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:15","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-15  喵哩喵哩点砍木 #@栗子酱_29正在抓取x4y6
2019-04-16-00-00-16  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:16","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-17  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:17","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-18  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:18","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-19  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:19","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-20  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:20","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-21  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:21","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-22  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:22","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-23  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:23","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-24  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:24","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-25  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:25","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

2019-04-16-00-00-26  房间人数为 14
2019-04-16-00-00-26  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x4y6","addTime":"2019-04-16 00:00:26","control":1,"nick":"栗子酱_29","balance":100,"optId":32,"playOptId":4129779,"result":-1},"msg":"成功"}

