2019-04-08-00-00-00  次日数据更新
2019-04-08-00-00-11  房间人数为 1
2019-04-08-00-00-26  房间人数为 1
2019-04-08-00-00-41  房间人数为 1
2019-04-08-00-00-56  房间人数为 1
2019-04-08-00-01-04  娃娃星球 抓x2y2
2019-04-08-00-01-04  x2y2
2019-04-08-00-01-04  {"type":2,"barrage":"申请上机","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":30,"playOptId":0}

2019-04-08-00-01-04  client接收到：{"state":true,"result":"200","data":{"type":2,"barrage":"申请上机","addTime":"2019-04-08 00:01:04","control":1,"nick":"娃娃星球","balance":41700,"optId":30,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-04  Wawaji上机申请
2019-04-08-00-01-05  
2019-04-08-00-01-05  {"type":3,"barrage":"x2y2","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":31,"playOptId":4093444}

2019-04-08-00-01-05  client接收到：{"state":true,"result":"200","data":{"type":3,"barrage":"x2y2","addTime":"2019-04-08 00:01:05","control":1,"nick":"娃娃星球","balance":41700,"optId":31,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-05  Wawaji运行完成
2019-04-08-00-01-05  我shi养猫人 66
2019-04-08-00-01-05  {"type":4,"barrage":"x2y2","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":32,"playOptId":4093444}

2019-04-08-00-01-05  娃
2019-04-08-00-01-05  {"type":0,"barrage":"66","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-08-00-01-05  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:05","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-06  喵哩喵哩点砍木 #@娃娃星球正在抓取x2y2
2019-04-08-00-01-06  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"66","addTime":"2019-04-08 00:01:06","control":0,"nick":"我shi养猫人","balance":101100,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-08-00-01-07  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:07","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-08  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:08","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-09  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:09","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-10  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:10","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-11  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:11","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-11  房间人数为 1
2019-04-08-00-01-12  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:12","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-13  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:13","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-14  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:14","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-15  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:15","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-16  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:16","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-17  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:17","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":-1},"msg":"成功"}

2019-04-08-00-01-18  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:18","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":0},"msg":"成功"}

2019-04-08-00-01-20  Wawaji反馈完成
2019-04-08-00-01-21  client接收到：{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:20","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":0},"msg":"成功"}
{"state":true,"result":"200","data":{"type":4,"barrage":"x2y2","addTime":"2019-04-08 00:01:20","control":1,"nick":"娃娃星球","balance":41700,"optId":32,"playOptId":4093444,"result":0},"msg":"成功"}

2019-04-08-00-01-21  client出错
2019-04-08-00-01-21  
2019-04-08-00-01-22  Wawaji运行完成
2019-04-08-00-01-22  喵哩喵哩点砍木 #@未抓到娃娃，继续努力哟
2019-04-08-00-01-26  房间人数为 1
2019-04-08-00-01-41  房间人数为 1
2019-04-08-00-01-52  10799688025_bili 点歌 盛夏
2019-04-08-00-01-52  娃
2019-04-08-00-01-52  {"type":0,"barrage":"点歌盛夏","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-08-00-01-52  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌盛夏","addTime":"2019-04-08 00:01:52","control":0,"nick":"10799688025_bili","balance":73700,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-08-00-01-56  房间人数为 1
2019-04-08-00-02-11  房间人数为 1
2019-04-08-00-02-26  房间人数为 1
2019-04-08-00-02-41  房间人数为 1
2019-04-08-00-02-45  10799688025_bili 1111
2019-04-08-00-02-45  娃
2019-04-08-00-02-45  {"type":0,"barrage":"1111","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-08-00-02-46  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"1111","addTime":"2019-04-08 00:02:46","control":0,"nick":"10799688025_bili","balance":73700,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-08-00-02-56  房间人数为 1
2019-04-08-00-03-11  房间人数为 1
2019-04-08-00-03-26  房间人数为 1
2019-04-08-00-03-41  房间人数为 1
2019-04-08-00-03-56  房间人数为 1
2019-04-08-00-04-11  房间人数为 1
2019-04-08-00-04-26  房间人数为 1
2019-04-08-00-04-41  房间人数为 1
2019-04-08-00-04-56  房间人数为 1
2019-04-08-00-05-11  房间人数为 1
2019-04-08-00-05-26  房间人数为 1
2019-04-08-00-05-41  房间人数为 1
2019-04-08-00-05-56  房间人数为 1
2019-04-08-00-06-11  房间人数为 1
2019-04-08-00-06-26  房间人数为 1
2019-04-08-00-06-41  房间人数为 1
2019-04-08-00-06-56  房间人数为 1
2019-04-08-00-07-11  房间人数为 1
2019-04-08-00-07-26  房间人数为 1
2019-04-08-00-07-41  房间人数为 1
2019-04-08-00-07-56  房间人数为 1
2019-04-08-00-08-11  房间人数为 1
2019-04-08-00-08-26  房间人数为 1
2019-04-08-00-08-41  房间人数为 1
2019-04-08-00-08-47  10799688025_bili 11111
2019-04-08-00-08-47  娃
2019-04-08-00-08-47  {"type":0,"barrage":"11111","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-08-00-08-47  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11111","addTime":"2019-04-08 00:08:47","control":0,"nick":"10799688025_bili","balance":73600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-08-00-08-56  房间人数为 1
2019-04-08-00-09-11  房间人数为 1
2019-04-08-00-09-26  房间人数为 1
2019-04-08-00-09-41  房间人数为 1
2019-04-08-00-09-56  房间人数为 1
2019-04-08-00-10-11  房间人数为 1
2019-04-08-00-10-26  房间人数为 1
2019-04-08-00-10-41  房间人数为 1
2019-04-08-00-10-56  房间人数为 1
2019-04-08-00-11-04  10799688025_bili 11111
2019-04-08-00-11-04  娃
2019-04-08-00-11-04  {"type":0,"barrage":"11111","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-08-00-11-05  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"11111","addTime":"2019-04-08 00:11:05","control":0,"nick":"10799688025_bili","balance":73600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-08-00-11-11  房间人数为 1
2019-04-08-00-11-26  房间人数为 1
2019-04-08-00-11-41  房间人数为 1
