2019-04-06-00-00-00  次日数据更新
2019-04-06-00-00-09  房间人数为 10
2019-04-06-00-00-24  房间人数为 10
2019-04-06-00-00-39  房间人数为 10
2019-04-06-00-00-54  房间人数为 10
2019-04-06-00-01-09  房间人数为 10
2019-04-06-00-01-24  房间人数为 10
2019-04-06-00-01-39  房间人数为 10
2019-04-06-00-01-54  房间人数为 10
2019-04-06-00-02-09  房间人数为 10
2019-04-06-00-02-24  房间人数为 10
2019-04-06-00-02-39  房间人数为 9
2019-04-06-00-02-54  房间人数为 9
2019-04-06-00-03-09  房间人数为 9
2019-04-06-00-03-24  房间人数为 9
2019-04-06-00-03-39  房间人数为 9
2019-04-06-00-03-54  房间人数为 9
2019-04-06-00-04-09  房间人数为 9
2019-04-06-00-04-15  吕小粽酱 画面1
2019-04-06-00-04-15  娃
2019-04-06-00-04-15  {"type":0,"barrage":"画面1","nick":"吕小粽酱","sid":"8684570","giftNum":0,"source":1,"optId":10}

2019-04-06-00-04-16  client接收到：{"state":true,"result":"200","data":{"type":0,"barrage":"画面1","addTime":"2019-04-06 00:04:16","control":0,"nick":"吕小粽酱","balance":0,"optId":10,"playOptId":0,"result":-1},"msg":"操作失败，余额不足"}

2019-04-06-00-04-16  
2019-04-06-00-04-17  喵哩喵哩点砍木 #余额不足，赠送任意礼物即可控制
2019-04-06-00-04-24  房间人数为 9
2019-04-06-00-04-39  房间人数为 9
2019-04-06-00-04-54  房间人数为 9
2019-04-06-00-05-04  吕小粽酱送出辣条
2019-04-06-00-05-04  
2019-04-06-00-05-05  {"type":1,"barrage":"辣条","nick":"吕小粽酱","sid":"8684570","giftNum":4,"source":1,"optId":20}

2019-04-06-00-05-05  喵哩喵哩点砍木 #谢吕小粽酱送出的辣条
2019-04-06-00-05-05  client接收到：{"state":true,"result":"200","data":{"type":1,"barrage":"辣条","addTime":"2019-04-06 00:05:05","control":0,"nick":"吕小粽酱","balance":400,"optId":20,"playOptId":0,"result":-1},"msg":"成功"}

2019-04-06-00-05-05  礼物
2019-04-06-00-05-09  房间人数为 9
2019-04-06-00-05-21  我shi养猫人 点歌 我曾
2019-04-06-00-05-21  娃
2019-04-06-00-05-21  {"type":0,"barrage":"点歌我曾","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-06-00-05-21  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌我曾","addTime":"2019-04-06 00:05:21","control":0,"nick":"我shi养猫人","balance":109100,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-06-00-05-24  房间人数为 9
2019-04-06-00-05-39  房间人数为 9
2019-04-06-00-05-54  房间人数为 9
2019-04-06-00-06-09  房间人数为 9
2019-04-06-00-06-24  房间人数为 9
2019-04-06-00-06-39  房间人数为 8
2019-04-06-00-06-54  房间人数为 8
2019-04-06-00-07-09  房间人数为 8
2019-04-06-00-07-14  10799688025_bili 6
