2019-04-10-00-00-00  次日数据更新
2019-04-10-00-00-05  房间人数为 5
2019-04-10-00-00-20  房间人数为 5
2019-04-10-00-00-35  房间人数为 5
2019-04-10-00-00-46  10799688025_bili 1
2019-04-10-00-00-46  娃
2019-04-10-00-00-46  {"type":0,"barrage":"1","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-10-00-00-46  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"1","addTime":"2019-04-10 00:00:46","control":0,"nick":"10799688025_bili","balance":66400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-00-48  我shi养猫人 111
2019-04-10-00-00-48  娃
2019-04-10-00-00-48  {"type":0,"barrage":"111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-10-00-00-48  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-10 00:00:48","control":0,"nick":"我shi养猫人","balance":94400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-00-50  房间人数为 5
2019-04-10-00-01-05  房间人数为 5
2019-04-10-00-01-20  房间人数为 5
2019-04-10-00-01-35  房间人数为 5
2019-04-10-00-01-50  房间人数为 5
2019-04-10-00-02-05  房间人数为 5
2019-04-10-00-02-20  房间人数为 5
2019-04-10-00-02-28  我shi养猫人 111
2019-04-10-00-02-28  娃
2019-04-10-00-02-28  {"type":0,"barrage":"111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-10-00-02-28  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-10 00:02:28","control":0,"nick":"我shi养猫人","balance":94400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-02-35  房间人数为 5
2019-04-10-00-02-50  房间人数为 5
2019-04-10-00-03-05  房间人数为 5
2019-04-10-00-03-20  房间人数为 5
2019-04-10-00-03-35  房间人数为 5
2019-04-10-00-03-50  房间人数为 5
2019-04-10-00-04-05  房间人数为 5
2019-04-10-00-04-20  房间人数为 5
2019-04-10-00-04-35  房间人数为 5
2019-04-10-00-04-49  更新cookie
2019-04-10-00-04-50  房间人数为 5
2019-04-10-00-05-05  房间人数为 5
2019-04-10-00-05-20  房间人数为 5
2019-04-10-00-05-27  10799688025_bili 66
2019-04-10-00-05-27  娃
2019-04-10-00-05-27  {"type":0,"barrage":"66","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-10-00-05-27  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"66","addTime":"2019-04-10 00:05:27","control":0,"nick":"10799688025_bili","balance":66400,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-10-00-05-35  房间人数为 5
2019-04-10-00-05-50  房间人数为 5
2019-04-10-00-06-05  房间人数为 5
2019-04-10-00-06-20  房间人数为 5
