2019-04-03-00-00-00  次日数据更新
2019-04-03-00-00-06  房间人数为 8
2019-04-03-00-00-21  房间人数为 8
2019-04-03-00-00-36  房间人数为 8
2019-04-03-00-00-36  10799688025_bili 111
2019-04-03-00-00-36  娃
2019-04-03-00-00-36  {"type":0,"barrage":"111","nick":"10799688025_bili","sid":"399195091","giftNum":0,"source":1,"optId":10}

2019-04-03-00-00-36  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-03 00:00:36","control":0,"nick":"10799688025_bili","balance":79600,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-03-00-00-38  娃娃星球 点歌 盛夏
2019-04-03-00-00-38  娃
2019-04-03-00-00-38  {"type":0,"barrage":"点歌盛夏","nick":"娃娃星球","sid":"411273260","giftNum":0,"source":1,"optId":10}

2019-04-03-00-00-39  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"点歌盛夏","addTime":"2019-04-03 00:00:39","control":0,"nick":"娃娃星球","balance":60900,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-03-00-00-51  房间人数为 8
2019-04-03-00-01-06  房间人数为 8
2019-04-03-00-01-21  房间人数为 8
2019-04-03-00-01-36  房间人数为 8
2019-04-03-00-01-51  房间人数为 8
2019-04-03-00-01-57  更新cookie
2019-04-03-00-02-06  房间人数为 8
2019-04-03-00-02-21  房间人数为 8
2019-04-03-00-02-36  房间人数为 8
2019-04-03-00-02-51  房间人数为 8
2019-04-03-00-03-06  房间人数为 8
2019-04-03-00-03-21  房间人数为 8
2019-04-03-00-03-36  房间人数为 8
2019-04-03-00-03-51  房间人数为 8
2019-04-03-00-04-06  房间人数为 8
2019-04-03-00-04-21  房间人数为 8
2019-04-03-00-04-36  房间人数为 7
2019-04-03-00-04-51  房间人数为 7
2019-04-03-00-05-06  房间人数为 7
2019-04-03-00-05-21  房间人数为 7
2019-04-03-00-05-36  房间人数为 6
2019-04-03-00-05-51  房间人数为 6
2019-04-03-00-06-06  房间人数为 6
2019-04-03-00-06-21  房间人数为 6
2019-04-03-00-06-36  我shi养猫人 111
2019-04-03-00-06-36  娃
2019-04-03-00-06-36  {"type":0,"barrage":"111","nick":"我shi养猫人","sid":"411289911","giftNum":0,"source":1,"optId":10}

2019-04-03-00-06-36  client接收到：{"state":false,"result":"004","data":{"type":0,"barrage":"111","addTime":"2019-04-03 00:06:36","control":0,"nick":"我shi养猫人","balance":98900,"optId":10,"playOptId":0,"result":-1},"msg":"不存在相关指令"}

2019-04-03-00-06-36  房间人数为 6
2019-04-03-00-06-51  房间人数为 6
2019-04-03-00-07-06  房间人数为 6
2019-04-03-00-07-21  房间人数为 6
2019-04-03-00-07-36  房间人数为 6
2019-04-03-00-07-51  房间人数为 6
2019-04-03-00-08-03  我shi养猫人 点歌 起风了
2019-04-03-00-08-03  娃
